num,score
0,283
1,275
2,279
3,299
4,292
5,292
6,289
7,267
8,308
9,290
10,277
11,305
12,281
13,276
14,276
15,269
16,274
17,255
18,281
19,264
20,278
21,282
22,273
23,275
24,280
25,268
26,282
27,282
28,273
29,265
30,292
31,315
32,266
33,293
34,260
35,304
36,272
37,309
38,266
39,299
40,277
41,294
42,280
43,298
44,287
45,276
46,290
47,303
48,273
49,316
50,292
51,269
52,286
53,271
54,264
55,275
56,276
57,276
58,265
59,266
60,289
61,279
62,270
63,280
64,284
65,271
66,293
67,272
68,280
69,274
70,310
71,294
72,272
73,285
74,278
75,278
76,272
77,300
78,287
79,290
80,285
81,286
82,262
83,267
84,289
85,272
86,267
87,268
88,284
89,310
90,286
91,269
92,285
93,277
94,291
95,296
96,304
97,266
98,278
99,265
