num,score
0, 362
1, 263
2, 366
3, 258
4, 564
5, 770
6, 280
7, 271
8, 468
9, 272
10, 461
11, 560
12, 265
13, 268
14, 659
15, 262
16, 268
17, 253
18, 556
19, 252
20, 266
21, 278
22, 660
23, 261
24, 272
25, 260
26, 264
27, 266
28, 457
29, 265
30, 665
31, 372
32, 260
33, 368
34, 258
35, 575
36, 259
37, 466
38, 262
39, 278
40, 262
41, 277
42, 462
43, 275
44, 666
45, 656
46, 262
47, 770
48, 266
49, 1170
50, 370
51, 358
52, 558
53, 264
54, 464
55, 465
56, 260
57, 264
58, 452
59, 262
60, 453
61, 467
62, 250
63, 270
64, 371
65, 456
66, 364
67, 260
68, 263
69, 269
70, 577
71, 468
72, 250
73, 452
74, 268
75, 260
76, 471
77, 1062
78, 379
79, 270
80, 266
81, 472
82, 264
83, 261
84, 554
85, 259
86, 264
87, 266
88, 576
89, 967
90, 371
91, 274
92, 472
93, 467
94, 257
95, 277
96, 286
97, 254
98, 359
99, 259
