num,score
0,289
1,284
2,279
3,298
4,298
5,304
6,295
7,280
8,307
9,297
10,282
11,293
12,287
13,278
14,274
15,274
16,272
17,255
18,269
19,252
20,279
21,296
22,269
23,274
24,281
25,268
26,267
27,286
28,294
29,278
30,289
31,296
32,269
33,286
34,292
35,293
36,278
37,305
38,270
39,290
40,278
41,285
42,269
43,293
44,303
45,274
46,274
47,300
48,272
49,310
50,284
51,279
52,298
53,268
54,262
55,275
56,274
57,286
58,279
59,276
60,279
61,281
62,254
63,281
64,280
65,276
66,292
67,265
68,294
69,274
70,308
71,310
72,254
73,294
74,282
75,283
76,282
77,298
78,314
79,282
80,271
81,294
82,277
83,278
84,290
85,271
86,265
87,271
88,284
89,306
90,299
91,273
92,286
93,298
94,284
95,310
96,302
97,263
98,285
99,260
