cnt,tmp
0,12000.0
1,12000.0
2,12000.0
3,12000.0
4,12000.0
5,12000.0
6,12000.0
8,12000.0
9,12000.0
10,12000.0
11,12000.0
13,12000.0
14,12000.0
15,12000.0
16,12000.0
17,12000.0
18,12000.0
19,12000.0
20,12000.0
21,12000.0
22,12000.0
23,12000.0
25,12000.0
26,12000.0
27,12000.0
29,12000.0
30,12000.0
31,12000.0
32,12000.0
33,12000.0
34,12000.0
35,12000.0
36,12000.0
37,12000.0
38,12000.0
39,12000.0
40,12000.0
41,12000.0
42,12000.0
43,12000.0
44,12000.0
45,12000.0
46,12000.0
47,12000.0
48,12000.0
50,12000.0
51,12000.0
52,12000.0
53,12000.0
54,12000.0
55,12000.0
57,12000.0
58,12000.0
59,12000.0
60,12000.0
61,12000.0
62,12000.0
63,12000.0
64,12000.0
65,12000.0
66,12000.0
67,12000.0
68,12000.0
69,12000.0
70,12000.0
71,12000.0
72,12000.0
73,12000.0
74,12000.0
75,12000.0
76,12000.0
77,12000.0
78,12000.0
79,12000.0
80,12000.0
81,12000.0
82,12000.0
83,12000.0
84,12000.0
86,12000.0
87,12000.0
88,12000.0
89,12000.0
90,12000.0
91,12000.0
92,12000.0
93,12000.0
98,12000.0
99,12000.0
101,12000.0
102,12000.0
104,12000.0
105,12000.0
106,12000.0
107,12000.0
108,12000.0
109,12000.0
110,12000.0
111,12000.0
113,12000.0
114,12000.0
115,12000.0
116,12000.0
117,12000.0
118,12000.0
120,12000.0
122,12000.0
123,12000.0
124,12000.0
125,12000.0
126,12000.0
127,12000.0
128,12000.0
130,12000.0
131,12000.0
132,12000.0
134,12000.0
135,12000.0
136,12000.0
137,12000.0
138,12000.0
139,12000.0
140,12000.0
141,12000.0
142,12000.0
143,12000.0
144,12000.0
145,12000.0
146,12000.0
147,12000.0
149,12000.0
151,12000.0
152,12000.0
153,12000.0
154,12000.0
155,12000.0
156,12000.0
158,12000.0
159,12000.0
160,12000.0
161,12000.0
162,12000.0
163,12000.0
164,12000.0
165,12000.0
166,12000.0
167,12000.0
168,12000.0
170,12000.0
171,12000.0
172,12000.0
173,12000.0
174,12000.0
175,12000.0
176,12000.0
178,12000.0
179,12000.0
180,12000.0
181,12000.0
182,12000.0
183,12000.0
184,12000.0
185,12000.0
186,12000.0
187,12000.0
188,12000.0
189,12000.0
190,12000.0
191,12000.0
193,12000.0
195,12000.0
196,12000.0
197,12000.0
199,12000.0
200,12000.0
201,12000.0
202,12000.0
203,12000.0
204,12000.0
206,12000.0
207,12000.0
208,12000.0
209,12000.0
210,12000.0
211,12000.0
212,12000.0
213,12000.0
214,12000.0
215,12000.0
217,12000.0
218,12000.0
220,12000.0
221,12000.0
225,12000.0
226,12000.0
227,12000.0
228,12000.0
229,12000.0
230,12000.0
231,12000.0
232,12000.0
233,12000.0
234,12000.0
235,12000.0
236,12000.0
237,12000.0
238,12000.0
239,12000.0
240,12000.0
242,12000.0
243,12000.0
244,12000.0
245,12000.0
247,12000.0
248,12000.0
249,12000.0
250,12000.0
252,12000.0
253,12000.0
255,12000.0
256,12000.0
257,12000.0
258,12000.0
259,12000.0
260,12000.0
262,12000.0
263,12000.0
265,12000.0
267,12000.0
268,12000.0
269,12000.0
270,12000.0
271,12000.0
272,12000.0
273,12000.0
274,12000.0
276,12000.0
277,12000.0
278,12000.0
280,12000.0
281,12000.0
282,12000.0
283,12000.0
285,12000.0
286,12000.0
287,12000.0
288,12000.0
289,12000.0
290,12000.0
291,12000.0
292,12000.0
294,12000.0
296,12000.0
297,12000.0
298,12000.0
299,12000.0
300,12000.0
301,12000.0
302,12000.0
303,12000.0
304,12000.0
305,12000.0
306,12000.0
307,12000.0
308,12000.0
310,12000.0
311,12000.0
312,12000.0
313,12000.0
314,12000.0
315,12000.0
316,12000.0
317,12000.0
318,12000.0
319,12000.0
320,12000.0
321,12000.0
322,12000.0
323,12000.0
324,12000.0
325,12000.0
326,12000.0
328,12000.0
329,12000.0
331,12000.0
332,12000.0
333,12000.0
334,12000.0
335,12000.0
336,12000.0
337,12000.0
338,12000.0
340,12000.0
341,12000.0
342,12000.0
343,12000.0
344,12000.0
345,12000.0
346,12000.0
348,12000.0
349,12000.0
350,12000.0
352,12000.0
353,12000.0
354,12000.0
355,12000.0
356,12000.0
357,12000.0
358,12000.0
359,12000.0
360,12000.0
361,12000.0
362,12000.0
363,12000.0
364,12000.0
365,12000.0
366,12000.0
367,12000.0
368,12000.0
369,12000.0
370,12000.0
371,12000.0
372,12000.0
373,12000.0
374,12000.0
375,12000.0
376,12000.0
377,12000.0
378,12000.0
380,12000.0
381,12000.0
382,12000.0
383,12000.0
385,12000.0
386,12000.0
387,12000.0
388,12000.0
391,12000.0
392,12000.0
393,12000.0
394,12000.0
395,12000.0
396,12000.0
397,12000.0
398,12000.0
399,12000.0
400,12000.0
401,12000.0
402,12000.0
403,12000.0
404,12000.0
405,12000.0
406,12000.0
407,12000.0
408,12000.0
409,12000.0
411,12000.0
412,12000.0
413,12000.0
414,12000.0
416,12000.0
417,12000.0
418,12000.0
419,12000.0
420,12000.0
422,12000.0
423,12000.0
424,12000.0
425,12000.0
426,12000.0
427,12000.0
428,12000.0
429,12000.0
430,12000.0
431,12000.0
432,12000.0
433,12000.0
434,12000.0
435,12000.0
436,12000.0
437,12000.0
438,12000.0
439,12000.0
440,12000.0
442,12000.0
443,12000.0
444,12000.0
445,12000.0
446,12000.0
447,12000.0
448,12000.0
449,12000.0
450,12000.0
451,12000.0
453,12000.0
454,12000.0
455,12000.0
456,12000.0
457,12000.0
